producttype,productvariant,Layer thickness,Density,declared unit,,,,,,,,,,,,,,,,,,,
Ligna,LIGNA Wood-based panels for raised floor,37.04,644.92,24.66,,,,,,,,,,,,,,,,,,,
Ligna,Ligna B 28 Wood-based panels for raised floor,28,620,17.36,,,,,,,,,,,,,,,,,,,
Ligna,Ligna B 28 ST Wood-based panels for raised floor,28.4,720.77,20.47,,,,,,,,,,,,,,,,,,,
Ligna,Ligna B 28 ST ST Wood-based panels for raised floor,28.8,819.1,23.59,,,,,,,,,,,,,,,,,,,
Ligna,Ligna B 30 Wood-based panels for raised floor,30,620,18.6,,,,,,,,,,,,,,,,,,,
Ligna,Ligna B 30 ST Wood-based panels for raised floor,30.4,714.14,21.71,,,,,,,,,,,,,,,,,,,
Ligna,Ligna B 30 ST ST Wood-based panels for raised floor,30.8,806.17,24.83,,,,,,,,,,,,,,,,,,,
Ligna,Ligna K1 38 Wood-based panels for raised floor,38,620,23.56,,,,,,,,,,,,,,,,,,,
Ligna,Ligna K1 38 ST Wood-based panels for raised floor,38.4,694.53,26.67,,,,,,,,,,,,,,,,,,,
Ligna,Ligna K1 38 ST ST Wood-based panels for raised floor,38.8,767.78,29.79,,,,,,,,,,,,,,,,,,,
Ligna,Ligna L 38 Wood-based panels for raised floor,38,680,25.84,,,,,,,,,,,,,,,,,,,
Ligna,Ligna L 38 ST Wood-based panels for raised floor,38.4,753.91,28.95,,,,,,,,,,,,,,,,,,,
Ligna,Ligna L 38 ST ST Wood-based panels for raised floor,38.8,826.55,32.07,,,,,,,,,,,,,,,,,,,
Ligna,Ligna S 38 Wood-based panels for raised floor,38,700,26.6,,,,,,,,,,,,,,,,,,,
Ligna,Ligna S 38 ST Wood-based panels for raised floor,38.4,773.7,29.71,,,,,,,,,,,,,,,,,,,
Ligna,Ligna S 38 ST ST Wood-based panels for raised floor,38.8,846.13,32.83,,,,,,,,,,,,,,,,,,,
Ligna,Ligna M 38 Wood-based panels for raised floor,38,680,25.84,,,,,,,,,,,,,,,,,,,
Ligna,Ligna M 38 ST Wood-based panels for raised floor,38.4,753.91,28.95,,,,,,,,,,,,,,,,,,,
Ligna,Ligna M 38 ST ST Wood-based panels for raised floor,38.8,826.55,32.07,,,,,,,,,,,,,,,,,,,
Ligna,Provisorium 38 Wood-based panels for raised floor,38,680,25.84,,,,,,,,,,,,,,,,,,,
Floor and more,FLOOR and more® hollow floor,36.54,1332.5,48.73,,,,,,,,,,,,,,,,,,,
Floor and more,FLOOR and more® G30,30,1321,39.63,,,,,,,,,,,,,,,,,,,
Floor and more,FLOOR and more® G30 Vario,30,1347,40.41,,,,,,,,,,,,,,,,,,,
