producttype,module,description_general,description_a1,description_a2,description_a3,description_s1,description_s2,description_s3
LIGNA,A1-A3,"Production stage covers raw material extraction, transport to manufacturing plant, and panel manufacturing. Includes timber sourcing (FSC-certified wood fibre), binder materials, steel frame components, and energy used in the production process. Packaging materials are also included (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of all input materials such as wood, glue , galvanised steel for sheet components.","Transport of raw material to manufacturer (A2) covers the inbound logistics of all raw materials from their respective suppliers to the Lindner  manufacturing facility. This includes truck, rail and ship transport depending on the material origin.","Lindner Manufacturing (A3) covers all production  processes such as chipboard cutting and profiling, steel sheet assembly ,finishing and packaging. Factory energy consumption  is included.",,,
LIGNA,A4,"Transport of finished panels from the Lindner production facility to the construction site. Truck transport distance set default to 100km, scalable .",,,,,,
LIGNA,A5,Mounting on site including installation kits and disposal of packaging waste.,,,,,,
LIGNA,C1,"Deconstruction of  panels from the current building, mostly mechanical. Depending on the future use of product, deconstruction can be done with or without damaging the product.",,,,Careful manual deconstruction to preserve panel integrity for refurbishment. Low energy input assumed.,Mechanical removal using standard construction equipment. Panels are broken up for incineration transport.,N/A
LIGNA,C2,"Transport of panels from the deconstruction site to the waste disposal facility, or Lindner in-case of future reuse.",,,,Transport to refurbishment workshop — assumed short distance within region.,Transport to incineration facility — average regional distance.,N/A
LIGNA,C3,"Waste processing operations such as incineration, recycling or refurbishment for a future reuse or neutralising the carbon intake in module A.",,,,"Inspection, cleaning and minor repair of panels before reuse certification.",Pre-processing of panels for feed into incineration furnace.,N/A
LIGNA,C4,Final waste dumping or neutralising the carbon intake in module A.,,,,Minimal residual waste to landfill — only panels failing refurbishment quality check.,Ash residue from incineration disposed to landfill.,N/A
LIGNA,D,"Benefits and loads beyond the system boundary , credits from avoided primary production.",,,,Avoided production of new LIGNA panels credited at the same functional unit.,Energy credits from electricity and heat recovered during incineration.,N/A
FLOOR and more®,A1-A3,"Production stage covers raw material extraction and manufacturing of all components: concrete mix (cement, aggregates, water), steel reinforcement bars, and any surface treatment. Energy consumed at the Lindner production plant and all upstream supply chain processes are included (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of all input materials such as wood, glue , galvanised steel for sheet components.","Transport of raw material to manufacturer (A2) covers the inbound logistics of all raw materials from their respective suppliers to the Lindner  manufacturing facility. This includes truck, rail and ship transport depending on the material origin.","Lindner Manufacturing (A3) covers all production  processes such as chipboard cutting and profiling, steel sheet assembly ,finishing and packaging. Factory energy consumption  is included.",,,
FLOOR and more®,A4,"Transport of finished panels from the Lindner production facility to the construction site. Truck transport distance set default to 100km, scalable .",,,,,,
FLOOR and more®,A5,Mounting on site including installation kits and disposal of packaging waste.,,,,,,
FLOOR and more®,C1,"Deconstruction of  panels from the current building, mostly mechanical. Depending on the future use of product, deconstruction can be done with or without damaging the product.",,,,Standard mechanical demolition — floor elements broken up with no intent to preserve geometry.,Selective demolition using hydraulic tools to shred elements on site prior to transport.,Careful mechanical lifting with vacuum equipment to maintain panel integrity for refurbishment.
FLOOR and more®,C2,"Transport of panels from the deconstruction site to the waste disposal facility, or Lindner in-case of future reuse.",,,,Transport to landfill site — average 50 km.,Transport to recycling facility — average 30 km.,Transport to refurbishment facility — average 80 km.
FLOOR and more®,C3,"Waste processing operations such as incineration, recycling or refurbishment for a future reuse or neutralising the carbon intake in module A.",,,,No processing — direct placement in landfill.,Crushing and separation of concrete aggregate and steel reinforcement for recycling.,"Inspection, cleaning and structural assessment of each panel for reuse suitability."
FLOOR and more®,C4,Final waste dumping or neutralising the carbon intake in module A.,,,,100% of material mass to landfill.,Residual fines from crushing process to landfill — approximately 5% of mass.,Panels failing quality inspection sent to landfill — assumed 10% rejection rate.
FLOOR and more®,D,"Benefits and loads beyond the system boundary , credits from avoided primary production.",,,,No credits — landfill scenario yields no material or energy recovery.,Credits from recycled concrete aggregate (avoided primary aggregate) and recycled steel (avoided primary steel production).,Credits from avoided production of new hollow floor elements at the same functional unit.
LOOP,A1-A3,"Production of LOOP raised floor panels including steel sheet forming, mineral fibre core, surface laminate, and edge trim. LOOP is designed for disassembly — the production process includes additional precision manufacturing steps to ensure panel reusability across multiple life cycles (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of all input materials such as wood, glue , galvanised steel for sheet components.","Transport of raw material to manufacturer (A2) covers the inbound logistics of all raw materials from their respective suppliers to the Lindner  manufacturing facility. This includes truck, rail and ship transport depending on the material origin.","Lindner Manufacturing (A3) covers all production  processes such as chipboard cutting and profiling, steel sheet assembly ,finishing and packaging. Factory energy consumption  is included.",,,
LOOP,A4,"Transport of finished panels from the Lindner production facility to the construction site. Truck transport distance set default to 100km, scalable .",,,,,,
LOOP,A5,Mounting on site including installation kits and disposal of packaging waste.,,,,,,
LOOP,C1,"Deconstruction of  panels from the current building, mostly mechanical. Depending on the future use of product, deconstruction can be done with or without damaging the product.",,,,Systematic hand removal of panels — LOOP click-system allows tool-free disassembly. Very low energy input.,Manual removal but with intent to send to landfill — panels are stacked for collection.,Panels removed and stacked for shredding — mechanical equipment used.
LOOP,C2,"Transport of panels from the deconstruction site to the waste disposal facility, or Lindner in-case of future reuse.",,,,Return transport to Lindner refurbishment centre via take-back logistics.,Transport to landfill site.,Transport to shredding and recycling facility.
LOOP,C3,"Waste processing operations such as incineration, recycling or refurbishment for a future reuse or neutralising the carbon intake in module A.",,,,"Inspection, surface cleaning and relamination where required. Panels graded for reuse quality level.",No processing required before landfill.,Mechanical shredding and material separation into mineral and metal fractions.
