product,A1-A3, A4 ,A5 ,C1 ,C1/1 ,C1/2,C2 ,C2/1 ,C2/2,C3 ,C3/1 ,C3/2,C4 ,C4/1,C4/2, D ,D/1,D/2,(A1-C4),(A1-C4)/1,(A1-C4)/2
Lindner Life Stereo 125,9.73E+01,3.92E-01,7.87E+00,0.00E+00,,,1.96E-01,,,1.86E+00,,,5.23E-01,,,-2.58E+01,,,1.08E+02,,
Lindner Life Contour 126 ,9.48E+01,3.89E-01,7.87E+00,0.00E+00,,,1.95E-01,,,1.52E+00,,,5.23E-01,,,-2.51E+01,,,1.05E+02,,
Lindner Life Freeze 137,1.01E+02,3.95E-01,7.88E+00,0.00E+00,,,1.98E-01,,,2.81E+00,,,5.23E-01,,,-2.61E+01,,,1.13E+02,,
Multiclean LVT 437,1.01E+02,3.95E-01,7.88E+00,0.00E+00,,,1.98E-01,,,2.81E+00,,,5.23E-01,,,-2.61E+01,,,1.13E+02,,
Multiclean CLVT 437,1.01E+02,3.95E-01,7.88E+00,0.00E+00,,,1.98E-01,,,2.81E+00,,,5.23E-01,,,-2.61E+01,,,1.13E+02,,
Multiclean CPH 448,1.01E+02,3.95E-01,7.88E+00,0.00E+00,,,1.98E-01,,,2.81E+00,,,5.23E-01,,,-2.61E+01,,,1.13E+02,,
"Lindner Logic 100 Timber Partition, 47 and 49 dB Sound Proofing
Variants",-8.47E+00,2.80E-01,1.08E+00,0.00E+00,0.00E+00,0.00E+00,1.37E-01,2.66E-01,2.46E-01,4.43E+01,4.30E+01,4.29E+01,5.41E-02,0.00E+00,5.32E-02,-2.83E+01,-7.79E+01,-7.40E+01,3.74E+01,3.62E+01,3.61E+01
"Lindner Logic 100 Timber Partition, 51 and 52 dB Sound Proofing
Variants",-6.87E+00,3.71E-01,1.44E+00,0.00E+00,0.00E+00,0.00E+00,1.81E-01,3.55E-01,3.35E-01,4.43E+01,4.37E+01,4.29E+01,8.71E-01,0.00E+00,7.09E-01,-2.83E+01,-8.08E+01,-7.67E+01,4.03E+01,3.90E+01,3.89E+01
"Lindner Logic 100 Timber Partition, 53 dB Sound Proofing Variants",-6.16E+00,4.12E-01,1.61E+00,0.00E+00,0.00E+00,0.00E+00,2.01E-01,3.95E-01,3.75E-01,4.43E+01,4.40E+01,4.29E+01,1.24E+00,0.00E+00,1.01E+00,-2.83E+01,-8.21E+01,-7.80E+01,4.16E+01,4.02E+01,4.02E+01
"Lindner Logic 100 Timber Partition, 55 dB Sound Proofing Variants",-3.97E+00,4.67E-01,1.83E+00,0.00E+00,0.00E+00,0.00E+00,2.28E-01,4.49E-01,4.31E-01,4.43E+01,4.43E+01,4.29E+01,1.67E+00,0.00E+00,1.33E+00,-2.83E+01,-8.49E+01,-8.09E+01,4.45E+01,4.31E+01,4.30E+01
"Lindner Logic 100 Timber Partition, EI60 Fire Protection Variant",-7.75E-01,3.58E-01,1.39E+00,0.00E+00,0.00E+00,0.00E+00,1.75E-01,3.41E-01,3.08E-01,4.36E+01,4.28E+01,4.25E+01,3.61E-01,0.00E+00,2.65E-01,-2.87E+01,-8.56E+01,-7.84E+01,4.52E+01,4.41E+01,4.41E+01
"Lindner Logic 100 Timber Partition, F30-EI30 Fire Protection Variants",-5.66E+00,3.18E-01,1.24E+00,0.00E+00,0.00E+00,0.00E+00,1.55E-01,3.03E-01,2.73E-01,4.36E+01,4.27E+01,4.25E+01,2.52E-01,0.00E+00,2.17E-01,-2.87E+01,-8.06E+01,-7.38E+01,4.00E+01,3.89E+01,3.89E+01
